datetime,open,high,low,close,volume,upper_band,middle_band,lower_band,ema,macd,macd_signal,macd_hist,rsi,sma,slow_k,slow_d
2024-01-08,182.09000,185.60001,181.50000,185.56000,59144500,202.67932,192.20150,181.72369,186.98244,-1.48522,0.26211,-1.74732,41.34011,187.87222,30.78242,13.93966
2024-01-05,181.99001,182.75999,180.17000,181.17999,62303300,202.68985,192.63700,182.58415,187.33805,-1.34579,0.69894,-2.04472,28.79449,188.76556,5.54029,5.36715
2024-01-04,182.14999,183.09000,180.88000,181.91000,71983600,201.77225,193.19400,184.61576,188.87757,-0.70228,1.21012,-1.91240,29.78020,190.26556,5.49626,7.22880
2024-01-03,184.22000,185.88000,183.42999,184.25000,58414500,200.61099,193.76950,186.92801,190.61946,0.05495,1.68822,-1.63327,33.15882,191.70111,5.06490,11.02392
2024-01-02,187.14999,188.44000,183.89000,185.64000,82488700,199.70122,194.02850,188.35578,192.21183,0.78239,2.09654,-1.31414,35.37237,193.11111,11.12524,19.06601
2023-12-29,193.89999,194.39999,191.73000,192.53000,42628800,198.70712,194.30850,189.90988,193.85478,1.55798,2.42507,-0.86710,51.06184,194.25000,16.88163,23.40761
2023-12-28,194.14000,194.66000,193.17000,193.58000,34049900,198.91744,194.17950,189.44157,194.18598,1.82371,2.64185,-0.81814,54.48147,194.81000,29.19116,24.40644
2023-12-27,192.49001,193.50000,191.09000,193.14999,48087700,199.14830,193.96900,188.78970,194.33747,2.02945,2.84638,-0.81693,53.29194,195.31333,24.15003,26.75237
2023-12-26,193.61000,193.89000,192.83000,193.05000,28919300,199.23177,193.83150,188.43123,194.63434,2.30631,3.05061,-0.74431,53.02688,195.84778,19.87812,38.50514
2023-12-22,195.17999,195.41000,192.97000,193.60001,37122800,199.34312,193.66850,187.99388,195.03043,2.63632,3.23669,-0.60037,54.60971,196.03222,36.22895,52.09276
2023-12-21,196.10001,197.08000,193.50000,194.67999,46482500,199.38652,193.48700,187.58748,195.38804,2.96318,3.38678,-0.42360,57.75298,195.98556,59.40836,66.00934
2023-12-20,196.89999,197.67999,194.83000,194.83000,52242800,199.26442,193.31850,187.37258,195.56505,3.22732,3.49268,-0.26537,58.18494,196.10000,60.64097,69.32352
2023-12-19,196.16000,196.95000,195.89000,196.94000,40714100,199.12202,193.10900,187.09598,195.74881,3.50223,3.55902,-0.05679,64.48430,196.03778,77.97869,76.82833
2023-12-18,196.09000,196.63000,194.39000,195.89000,55751900,198.61984,192.83450,187.04916,195.45101,3.58735,3.57322,0.01412,62.61396,195.52445,69.35089,80.03292
2023-12-15,197.53000,198.39999,197.00000,197.57001,128256700,198.28611,192.52450,186.76290,195.34126,3.75071,3.56969,0.18102,67.92878,195.25000,83.15540,90.12293
2023-12-14,198.02000,199.62000,196.16000,198.11000,66831600,197.52327,192.13150,186.73973,194.78408,3.73362,3.52444,0.20918,69.69444,194.34556,87.59248,90.74171
2023-12-13,195.09000,198.00000,194.85001,197.96001,70404200,196.55599,191.62650,186.69701,193.95260,3.60251,3.47214,0.13036,69.48989,193.58222,99.62092,83.90952
2023-12-12,193.08000,194.72000,191.72000,194.71001,52696900,195.42206,191.10050,186.77894,192.95074,3.39804,3.43955,-0.04152,64.69553,192.69222,85.01174,82.94299
2023-12-11,193.11000,193.49001,191.42000,193.17999,60943700,195.40368,190.60500,185.80632,192.51093,3.41854,3.44993,-0.03139,62.09148,192.09889,67.09590,84.71614
2023-12-08,194.20000,195.99001,193.67000,195.71001,53377300,195.24375,190.26600,185.28825,192.34366,3.55077,3.45778,0.09299,70.02193,191.79000,96.72133,84.55792
2023-12-07,193.63000,195.00000,193.59000,194.27000,47477700,195.02548,189.60100,184.17652,191.50208,3.41029,3.43453,-0.02424,67.85184,191.13222,90.33119,80.95058
2023-12-06,194.45000,194.75999,192.11000,192.32001,41089700,194.75716,189.03200,183.30684,190.81009,3.32801,3.44059,-0.11258,64.63252,190.65444,66.62123,66.57671
2023-12-05,190.21001,194.39999,190.17999,193.42000,66628400,194.82486,188.50700,182.18914,190.43262,3.37312,3.46874,-0.09562,68.21043,190.54222,85.89934,71.24276
2023-12-04,189.98000,190.05000,187.45000,189.42999,43389500,194.88882,187.79750,180.70618,189.68577,3.26964,3.49264,-0.22300,60.92455,190.23333,47.20957,65.37562
2023-12-01,190.33000,191.56000,189.23000,191.24001,45679300,195.70098,187.15850,178.61602,189.74971,3.49625,3.54839,-0.05214,67.43492,190.45778,80.61938,72.30097
2023-11-30,189.84000,190.32001,188.19000,189.95000,48794400,195.75731,186.47500,177.19269,189.37714,3.55035,3.56143,-0.01108,64.95667,190.28555,68.29790,71.32437
2023-11-29,190.89999,192.09000,188.97000,189.37000,43014200,196.28107,185.67600,175.07092,189.23393,3.69910,3.56420,0.13491,63.80673,190.25889,67.98562,74.39412
