datetime,open,high,low,close,volume,upper_band,middle_band,lower_band,ema,macd,macd_signal,macd_hist,rsi,sma,slow_k,slow_d
2023-11-13,185.82001,186.03000,184.21001,184.80000,43627500,186.80802,176.03900,165.26998,181.05617,2.18278,0.66192,1.52086,64.76308,180.63778,91.53108,93.81646
2023-11-10,183.97000,186.57001,183.53000,186.39999,66133400,185.81908,175.73500,165.65093,180.12021,1.85807,0.28170,1.57637,69.00359,179.07889,99.18654,95.58957
2023-11-09,182.96001,184.12000,181.81000,182.41000,53763500,184.31913,175.35750,166.39587,178.55027,1.25370,-0.11239,1.36609,63.46395,177.28889,90.73175,94.62837
2023-11-08,182.35001,183.45000,181.59000,182.89000,49340300,183.99398,175.27250,166.55102,177.58533,0.87031,-0.45391,1.32423,64.75676,175.71222,96.85041,97.23330
2023-11-07,179.17999,182.44000,178.97000,181.82001,70530000,183.39224,175.11800,166.84376,176.25917,0.31944,-0.78497,1.10441,63.20525,173.93444,96.30295,93.65570
2023-11-06,176.38000,179.42999,176.21001,179.23000,63841300,182.78890,174.94650,167.10410,174.86896,-0.27937,-1.06107,0.78170,59.16460,172.74333,98.54653,91.13465
2023-11-03,174.24001,176.82001,173.35001,176.64999,79763700,182.75134,174.93450,167.11766,173.77870,-0.77590,-1.25650,0.48059,54.54765,172.10000,86.11761,75.30098
2023-11-02,175.52000,177.78000,175.46001,177.57001,77334800,182.83866,174.97650,167.11435,173.06087,-1.13568,-1.37665,0.24097,56.66921,171.69445,88.73979,56.79309
2023-11-01,171.00000,174.23000,170.12000,173.97000,56934900,182.61514,174.84350,167.07186,171.93359,-1.67204,-1.43689,-0.23515,49.53791,171.17333,51.04555,36.45130
2023-10-31,169.35001,170.89999,167.89999,170.77000,44846000,182.60778,174.82800,167.04822,171.42449,-1.96576,-1.37810,-0.58766,41.60549,171.33889,30.59392,24.53510
2023-10-30,169.02000,171.17000,168.87000,170.28999,51131000,182.55044,174.90950,167.26856,171.58811,-1.98625,-1.23119,-0.75506,40.29828,171.90222,27.71443,16.77665
2023-10-27,166.91000,168.96001,166.83000,168.22000,58499100,182.44899,175.08250,167.71601,171.91264,-1.93463,-1.04242,-0.89222,34.41961,172.66445,15.29696,10.68116
2023-10-26,170.37000,171.38000,165.67000,166.89000,70625300,182.14259,175.23200,168.32142,172.83580,-1.62985,-0.81937,-0.81049,30.32645,173.83111,7.31854,15.01008
2023-10-25,171.88000,173.06000,170.64999,171.10001,57157000,181.57180,175.42200,169.27221,174.32225,-1.08171,-0.61674,-0.46497,37.13999,175.16000,9.42799,20.81662
2023-10-24,173.05000,173.67000,171.45000,173.44000,43816600,181.63859,175.38850,169.13842,175.12781,-0.79501,-0.50050,-0.29451,42.01154,176.22778,28.28371,23.63461
2023-10-23,170.91000,174.00999,169.92999,173.00000,55980100,181.68892,175.31450,168.94008,175.54976,-0.65576,-0.42688,-0.22888,40.65234,176.93445,24.73817,27.63264
2023-10-20,175.31000,175.42000,172.64000,172.88000,64189300,181.76010,175.46850,169.17690,176.18719,-0.42369,-0.36966,-0.05403,40.29797,177.53334,17.88194,34.66436
2023-10-19,176.03999,177.84000,175.19000,175.46001,59302900,181.75268,175.56400,169.37532,177.01399,-0.10910,-0.35615,0.24704,45.75224,178.21222,40.27781,50.28433
2023-10-18,175.58000,177.58000,175.11000,175.84000,54764400,181.71712,175.48750,169.25788,177.40249,0.03132,-0.41791,0.44923,46.61511,178.43778,45.83333,61.99427
2023-10-17,176.64999,178.42000,174.80000,177.14999,57549400,181.69753,175.47000,169.24248,177.79311,0.17140,-0.53021,0.70162,49.61027,178.33445,64.74183,72.14677
2023-10-16,176.75000,179.08000,176.50999,178.72000,52517000,181.95136,175.56600,169.18065,177.95389,0.21433,-0.70562,0.91995,53.43088,177.94667,75.40764,80.20839
2023-10-13,181.42000,181.92999,178.14000,178.85001,51427100,181.84779,175.52850,169.20921,177.76236,0.10614,-0.93561,1.04175,53.74916,177.24445,76.29083,88.26956
2023-10-12,180.07001,182.34000,179.03999,180.71001,56743100,181.47110,175.33650,169.20191,177.49045,-0.04672,-1.19604,1.14932,58.36828,176.67778,88.92670,92.50870
2023-10-11,178.20000,179.85001,177.60001,179.80000,47551100,180.71329,175.08800,169.46271,176.68556,-0.43054,-1.48337,1.05284,56.67685,175.62222,99.59114,94.24066
2023-10-10,178.10001,179.72000,177.95000,178.39000,43698000,180.00898,174.80850,169.60802,175.90695,-0.82151,-1.74658,0.92508,53.98718,174.61000,89.00825,88.27874
2023-10-09,176.81000,179.05000,175.80000,178.99001,42390800,179.69207,174.70400,169.71593,175.28619,-1.16501,-1.97785,0.81284,55.34489,173.72556,94.12259,78.72523
